from_address,total_increase,avg_increase,call_count,std_increase,total_gas_current,avg_gas_current,total_gas_new,avg_gas_new,unique_contracts,unique_transactions,first_block,last_block,active_blocks,avg_base_size,max_base_size,avg_exp_size,max_exp_size,avg_mod_size,max_mod_size,cost_ratio,activity_span,avg_calls_per_block
0x67b4a9832dfbec071319e492f70e582ee316afc0,0,0.0,12,0.0,16320,1360.0,16320,1360.0,1,4,22136118,22522335,4,32.0,32,32.0,32,32.0,32,1.0,386217,3.1070535293538884e-05
0x211d98242e4c58e9eb17e3cc135a165bd59dd172,0,0.0,45,0.0,61200,1360.0,61200,1360.0,1,15,22323767,22524122,15,32.0,32,32.0,32,32.0,32,1.0,200355,0.00022460021162331052
0x1f55ce1234aa67f28b00c493535a230d8f1d16c7,0,0.0,15,0.0,20400,1360.0,20400,1360.0,1,5,22579414,22580735,5,32.0,32,32.0,32,32.0,32,1.0,1321,0.0113464447806354
0x1d53960165188ee0c74a5705ee6307fea517c613,0,0.0,78,0.0,106080,1360.0,106080,1360.0,1,26,22193550,22580756,26,32.0,32,32.0,32,32.0,32,1.0,387206,0.00020144263920848538
0x1a8312fad1d803660d5d5dee8cddfc35b3bec33d,0,0.0,162,0.0,220320,1360.0,220320,1360.0,1,54,22323652,22522453,54,32.0,32,32.0,32,32.0,32,1.0,198801,0.0008148811380167202
0x0392b4cc79fbb0f38d8942866c0302ae01c2b194,0,0.0,69,0.0,93840,1360.0,93840,1360.0,1,23,22228344,22580707,23,32.0,32,32.0,32,32.0,32,1.0,352363,0.00019582023135167044
0xfb32a11ae512ed3ca15282a8e408f5c804bb8847,0,0.0,6,0.0,8160,1360.0,8160,1360.0,1,2,22449325,22449492,2,32.0,32,32.0,32,32.0,32,1.0,167,0.03571428571428571
0xfa06168ecc23725511709f46247e6668178a14d8,0,0.0,21,0.0,28560,1360.0,28560,1360.0,1,7,22324347,22444365,7,32.0,32,32.0,32,32.0,32,1.0,120018,0.00017497229605312493
0xf79a32b893b793ff4964134273b9c0ab8e9b4005,0,0.0,105,0.0,142800,1360.0,142800,1360.0,1,35,22222716,22482103,35,32.0,32,32.0,32,32.0,32,1.0,259387,0.0004047989883880519
0xf70da97812cb96acdf810712aa562db8dfa3dbef,0,0.0,132,0.0,179520,1360.0,179520,1360.0,1,39,22090071,22580198,39,32.0,32,32.0,32,32.0,32,1.0,490127,0.000269317402800901
0xf5dbae54d43d3c1141b2ea45a79557f2ed331ef5,0,0.0,3,0.0,4080,1360.0,4080,1360.0,1,1,22136464,22136464,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0x01b27db5a9a57c7bd411676413980f0c5ac2fd4f,0,0.0,105,0.0,142800,1360.0,142800,1360.0,1,35,22216977,22443627,35,32.0,32,32.0,32,32.0,32,1.0,226650,0.00046326731406435445
0x000097d4a261d7ad074089ca08efa2b136aa6d38,0,0.0,15,0.0,20070,1338.0,20070,1338.0,1,6,22444438,22444455,6,32.0,32,32.0,32,32.0,32,1.0,17,0.8333333333333334
0x17a9aa3f7945fb00c2eb16857baa4adb63da59db,0,0.0,15,0.0,20400,1360.0,20400,1360.0,1,5,22223300,22224541,5,32.0,32,32.0,32,32.0,32,1.0,1241,0.012077294685990338
0x0a0256a9166041101c90be87bbebb8242a3ba015,0,0.0,45,0.0,61200,1360.0,61200,1360.0,1,15,22222771,22443464,15,32.0,32,32.0,32,32.0,32,1.0,220693,0.00020390223567473515
0x23b32bae4708bc9af3962b81d6d8ca5327e9dffc,0,0.0,54,0.0,73440,1360.0,73440,1360.0,1,18,22194652,22425526,18,32.0,32,32.0,32,32.0,32,1.0,230874,0.00023389279913373038
